feature,modality,selected_by_EN,perm_imp_mse_increase_train,perm_imp_mse_increase_train_std
demo__edu_years,demographics,True,6.852632724945745,1.3095394991541884
whisper__sent_net_polarity,whisper,True,3.973674528003385,0.612904736459271
HNRdBACF_sma3nz_amean,egemaps,True,2.531003392012905,0.4528815340142814
whisper__lex_mattr50,whisper,True,2.3313560247917176,0.43724494901583943
whisper__sent_le_rate,whisper,True,2.0573818595915223,0.5216063376961446
logRelF0-H1-A3_sma3nz_amean,egemaps,True,1.955692133065187,0.6582401180099999
slopeUV500-1500_sma3nz_amean,egemaps,True,1.8845069771820089,0.5313536777369267
slopeUV0-500_sma3nz_amean,egemaps,True,1.87329234813379,0.5069907837957447
mfcc4V_sma3nz_amean,egemaps,True,1.831873872739634,0.443028710720236
shimmerLocaldB_sma3nz_amean,egemaps,True,1.8289679776355077,0.6903610728044625
whisper__sent_jing_rate,whisper,True,1.4971607183352245,0.4326234303842306
mfcc3V_sma3nz_stddevNorm,egemaps,True,1.35603496093233,0.6333549161870015
mfcc4V_sma3nz_stddevNorm,egemaps,True,1.3511829966946505,0.4366565166488588
StddevVoicedSegmentLengthSec,egemaps,True,1.3316824647101089,0.3778149264135585
whisper__syn_punct_density,whisper,True,1.328470725550767,0.2778031233435646
demo__age,demographics,True,1.2095819903726401,0.40351994314142153
MeanVoicedSegmentLengthSec,egemaps,True,1.2017942175971539,0.3518934550557489
slopeV0-500_sma3nz_amean,egemaps,True,1.1814187567545889,0.2822748675120151
whisper__syn_sd_tokens_per_sent,whisper,True,1.1557222044233124,0.2512189429311017
slopeV500-1500_sma3nz_amean,egemaps,True,1.119123946871993,0.3777375755530435
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,egemaps,True,1.0395072395719016,0.3993061848556077
loudness_sma3_percentile50.0,egemaps,True,0.9998807173432626,0.2724444800400563
logRelF0-H1-H2_sma3nz_stddevNorm,egemaps,True,0.9510211347277917,0.2568183382927827
slopeV500-1500_sma3nz_stddevNorm,egemaps,True,0.9244708710414878,0.23590609684099859
mfcc2_sma3_stddevNorm,egemaps,True,0.881580719404664,0.23068152853747945
mfcc4_sma3_stddevNorm,egemaps,True,0.8715106577300433,0.344591633451375
loudness_sma3_stddevNorm,egemaps,True,0.8573057171272012,0.24675555538767416
MeanUnvoicedSegmentLength,egemaps,True,0.8056110806214868,0.29740963091475203
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,egemaps,True,0.7912596496415211,0.1866089185592912
F3frequency_sma3nz_stddevNorm,egemaps,True,0.7876564992791639,0.2855849730099832
whisper__lex_first_person_sg_rate,whisper,True,0.7844141794770818,0.24281457798774794
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,egemaps,True,0.7416673722136684,0.21605094911233802
loudness_sma3_percentile20.0,egemaps,True,0.7079698414953155,0.26419466180577816
shimmerLocaldB_sma3nz_stddevNorm,egemaps,True,0.6995901467860102,0.18488594966219382
